Ion	B	v0	MW	Charge
NH4	3.7519946077107935	5.933514542569724	18.039	1
Ca	8.813696088134217	8.949291110436015	40.078	2
Li	4.956380089877989	7.303095937614479	6.941	1
Mg	7.412450253128243	7.1231980307016185	24.305	2
Na	6.402285031745164	9.703083880315306	22.989769	1
K	5.785495962979557	9.59918839313103	39.0983	1
Cl	9.586035827164817	11.100795813012386	35.452	-1
HSO4	5.185508312372723	7.482732393864577	97.07	-1
SO4	12.373440315295985	15.950689687626024	96.06	-2
Br	7.102995627172741	8.69115862947575	79.904	-1
NO3	5.855358980664561	8.406553123490898	62.0049	1
H	0	0	0	1
malonic acid	6.82	9.76	104.061	0
glutaric acid	6.99	9.64	132.12	0 
citric acid	7.79631	10.3667	192.124	0
tartaric acid	7.83428	10.3516	150.087	0
sucrose	9.26406	11.4904	342.3	0
mannose	8.80201	10.9059	180.156	0
